Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-03-08,2337.02,2353.91,2308.05,2351.65,20401587
2024-03-11,2348.14,2370.39,2340.36,2370.39,13265697
2024-03-12,2374.4,2428.05,2364.45,2425.09,22585522
2024-03-13,2423.09,2435.83,2398.1,2408.31,20086275
2024-03-14,2410.55,2426.94,2398.55,2412.33,25018417
2024-03-15,2411.5,2422.1,2310.02,2350.97,72844908
2024-03-18,2352.61,2375.89,2330.69,2350.87,17958198
2024-03-19,2352.6,2359.36,2297.85,2335.74,19423586
2024-03-20,2342.47,2350.76,2314.6,2341.35,15804240
2024-03-21,2369.05,2409.74,2369.05,2409.74,20376550
2024-03-22,2405.34,2415.75,2374.23,2377.69,16101913
